video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
mGGdcwIkRfA,Stephen Miller’s Wife Melts Down During Debate That Even Stuns Piers Morgan,"Breaking down the absolute madness during a debate about Zohran Mamdani on 'Piers Morgan Uncensored' featuring Katie Miller (wife of close Trump advisor Stephen Miller), Cenk Uygur, and Omar Baddar.  Full debate: https://tinyurl.com/e7saztfh   ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow",2025-10-31 17:36:27,660,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
oFtcle5kfWY,"Americans Love Canada, Hate Trump | Wild Drama Over Anti-Tariff Ad","Breaking down my thoughts over the fallout from Doug Ford's anti-tariff U.S. ad featuring Reagan.   I also discuss some polling around how Americans feel about Canada compared to Trump, as well as how Canadians are feeling about the U.S.  My video on the anti-tariff ad: https://youtu.be/0wF8Tqp-MvI?si=Y0pohVOqCtnRZwsW  Time Stamps: 00:00 Intro 00:42 Anti-tariff ad 03:02 Trump’s reaction & fallout 05:15 More drama over ad 06:16 CNN on tariff polling 07:27 Americans on tariffs 08:25 Doug Ford’s reaction to U.S. ambassador outburst 09:43 How Doug Ford gets away with it 12:03 Canada much more popular than Trump 14:48 How Canadians feel about the U.S.A.  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/5awr4z9m (Ontario's health spending lowest in Canada in 2022-2023, CBC News) https://tinyurl.com/mtthxex3 (Ontario Reagan commercial produced by firm with ties to Doug Ford’s PC party, Global News) https://tinyurl.com/5cp4tu3s (my prediction/speculation clipped) https://tinyurl.com/4u2radnz (Trump calls off trade talks with Canada over Ontario's anti-tariff ad, CBC News) https://tinyurl.com/8rwnbd85 (Trump says he’s ‘terminating’ all trade discussions with Canada over Digital Services Tax, Politico) https://tinyurl.com/3jchv7vf (White House says Canadian PM ‘caved’ to Trump demand to scrap tech tax, The Guardian) https://tinyurl.com/ynv9dtd6 (Ontario to pull ad that angered Trump on Monday, Ford says — after weekend's World Series games, CBC News) https://tinyurl.com/4zx4yau4 (Trump raises tariffs on Canada by 10% in retaliation for anti-tariff TV ad, The Guardian) https://tinyurl.com/bdfam3yb (U.S. ambassador to Canada goes on expletive-laced tirade at Ontario’s trade representative, witnesses say, CBC News) https://tinyurl.com/4cyx9sjp (Trump, tariffs and Canada: CNN's Harry Enten runs the numbers, CNN) https://tinyurl.com/mr3sf36h (Majority of Americans Say They Oppose Trump's Tariffs Against Canada, PressProgress) https://tinyurl.com/ms36vmew (Less Than One Third of Americans View Tariffs Favorably, Navigator) https://tinyurl.com/bd4skwsm (Doug Ford responds to U.S. ambassador, video) https://tinyurl.com/4us7zrwk (Doug Ford election changes, h/t Colin D'Mello) https://tinyurl.com/vdfdfm46 ($100 million in Skills Development Fund grants traced to lobbyists with ties to Ontario premier, CTV News) https://tinyurl.com/49u2k8d6 (The Greenbelt report proves it: The Ford government is corrupt, TVO) https://tinyurl.com/4bw39x2h (Trump and Carney keep it civil over dinner ahead of APEC Summit, CBC News) https://tinyurl.com/37baxd73 (Trump social media post) https://tinyurl.com/3nuafz8u (Majority of Canadians no longer see America as a friend, study finds, The Star)",2025-10-29 20:27:32,1029,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
wkRnS9W4MWw,"Zohran Mamdani’s Massive Rally Delivers Energy, Hope, & Community","Breaking down the huge 'NYC Is Not For Sale' rally at Forest Hills stadium in Queens, with clips from AOC, Bernie Sanders, and Zohran Mamdani. A huge 'tax the rich' chant during Kathy Hochul's speech, and the positive reaction to Mamdani from MSNBC's Joe Scarborough.  Full rally: https://www.youtube.com/live/hpmzORAddvI?si=nSyW1k3o9fkVb54h  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/2jpy7p7c (‘Our work has only just begun’: Mamdani, Sanders and AOC rally the faithful ahead of NYC mayoral election, The Guardian) https://tinyurl.com/4eehwrrj (Morning Joe clip, h/t Ken Klippenstein) https://tinyurl.com/4r9tcu2e (huge rally image) https://tinyurl.com/46wardpv ('tax the rich' chant at Kathy Hochul)",2025-10-27 19:08:40,1085,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
laZ2TN6vwug,Reacting To Cuomo’s INSANE AI-Generated Attack Ad Aimed At Mamdani | TLM Clip,"Our reaction to Andrew Cuomo's absolutely insane attack ad aimed at Zohran Mamdani, which was quickly deleted after the Cuomo campaign shared it.   This clip is from Episode 145 of The Leftist Mafia. Full episode here: https://www.youtube.com/live/y1l5r5BWx5s?si=lLUhsrxdgBEQSXyZ  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/yk9kvett (ad)",2025-10-25 14:30:41,779,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
WlXps3n17vM,Blue Jays Fans Are Furious Over Doug Ford Policy As Team Starts World Series,"Want to be part of history and watch the Jays play in the World Series for the first time since 1993? I hope you have thousands of dollars just lying around.   In the video I explore Ontario Premier Doug Ford’s long standing opposition to consumer protections and how it might be finally waking some people up. Also discussed is Ford's negative impact on cost of living through his ending of rent control.  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/2pcked5e (Opening clip. Ford will watch World Series from ‘man cave’ given ticket prices, Global News) https://tinyurl.com/3ekk5vp2 (Missed out on Blue Jays World Series tickets? Cheapest resale seats priced at $2K, Global News) https://tinyurl.com/3jkw88h5 (Blue Jays fans vent their frustrations at sky-high resale World Series ticket prices, Toronto Sun) https://tinyurl.com/2yf4my64 (Ontario passes law to ban scalper bots, strengthen ticket laws, CBC News) https://tinyurl.com/mt98973f (New Ontario government puts brakes on anti-scalping law, CBC News) https://tinyurl.com/yppy7myj (Ontario just scrapped a ticket resale cap meant to keep scalpers' profits down, CBC News) https://tinyurl.com/md5me54c (Jays fans swing — and miss — at securing face-value tickets to the World Series, RCI) https://tinyurl.com/3fa82snv (Quebec Government Pursues Action Against Ticket Resale Site, Billboard Canada) https://tinyurl.com/vk4myt2d (Doug Ford answering media, Richard Southern) https://tinyurl.com/ep4n7rbt (The Beaverton) https://tinyurl.com/8uuxzxud (failed motion, Colin D'Mello) https://tinyurl.com/yns2y7er (As Blue Jays ticket prices soar, Ontario NDP looks to table legislation banning resale markups, CBC News) https://tinyurl.com/4r9euvnc (Over 80,000 were homeless in Ontario in 2024, up at least 25% since 2022, The Trillium) https://tinyurl.com/4ddhkxph (Andrew Boozary MD) https://tinyurl.com/mvj99sfp (Rent control reforms could mark return to sky-high increases for Toronto tenants, CBC News) https://tinyurl.com/fnvenspj (Josh Matlow 2018 prediction) https://tinyurl.com/y7386cm8 (Life Without Rent Control: ‘It’s Been a Disaster’, The Grind) https://tinyurl.com/mpfshbcx (Two-bedroom average rent costs $5,900 a year more since Doug Ford's election, Tom Parkin) https://tinyurl.com/3z742s9z (Josh Matlow 2025) https://tinyurl.com/mvk8hcs9 (Doug Ford Moves to End Rent Control, Acorn Canada)",2025-10-24 15:37:17,846,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
o8yohPcUuRo,D.C. Attempts To Damage Graham Platner's Support Over A Bad Tattoo,"Discussing the controversy around Democratic Senate primary candidate for Maine Graham Platner's recently revealed, and now covered up, tattoo.  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/3mbax29b (full interview with Graham Platner on Pod Save America) https://tinyurl.com/yc83ws9u (the new tattoo)",2025-10-22 18:01:34,1000,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
s5nvBkI_72Y,Zohran Mamdani Dominates Wild NYC Mayoral Debate,"Breaking down some highlights of the New York City mayoral debate between Democratic candidate Zohran Mamdani, Republican candidate Curtis Sliwa, and Independent candidate Andrew Cuomo.  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/msmjhsxh (full debate)",2025-10-17 18:19:20,1075,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
0wF8Tqp-MvI,'Fiscal Conservative' Doug Ford Blows $75M Of Public Money On U.S. Ad,"After already spending $52 Million on ads for the U.S. market last year, Ontario Premier Doug Ford has put down $75M on a new anti-tariff ad for the U.S. market while continuing to underfund vital public needs like health care and education.  Video referenced: https://youtu.be/6JO1SDqgLrc?si=lH5l5WVeRyKb4x5I  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/49wnxwm8 (Clients of lobby firms connected to premier, his nephew given tens of millions in training funds, The Trillium) https://tinyurl.com/3ujsdhrf (Government secrecy clouds $237 million in funding to groups that endorsed Doug Ford, Toronto Star) https://tinyurl.com/3f9tp4sy (Ontario running $75M anti-tariff ads in U.S. aimed at Republicans, CBC News) https://tinyurl.com/uj8vntcn (Ronald Reagan Ontario government television advertisement shared by Doug Ford) https://tinyurl.com/5bd6v3et (Doug Ford “staunch fiscal conservative"", h/t Colin D'Mello) https://tinyurl.com/488mpzeb (75% of Americans report soaring prices as Trump claims inflation ‘over’, The Guardian) https://tinyurl.com/ms36vmew (Less Than One Third of Americans View Tariffs Favorably, Navigator Research) https://tinyurl.com/4w8wtjm3 (Colin D'Mello's report on Doug Ford's ad) https://tinyurl.com/vsj235ja (Ford government commercials on Fox News, U.S. media cost tens of millions, docs show, Global News) https://tinyurl.com/3zwxrasa (Ontario is last in program spending again, CCPA) https://tinyurl.com/5awr4z9m (Ontario's health spending lowest in Canada in 2022-2023, CBC News) https://tinyurl.com/4audu9rh (More Than Four Million Ontarians Will Be Without a Family Doctor by 2026, Ontario Family Physicians) https://tinyurl.com/5n9at8hc (New report highlights burnout of Ontario hospital staff amid employee shortages, CityNews) https://tinyurl.com/c5uts9dp (Ontario budget fails to address years-long funding shortfalls, CCPA) https://tinyurl.com/927ff9wa (Ontario public hospitals and the rise of private staffing agencies, CCPA) https://tinyurl.com/5cpyek34 (New study reveals Ontario spent $9.2 billion on for-profit staffing agencies over 10 years, OCHU & CUPE) https://tinyurl.com/t2de9k7c (Ontario falling short on reaching $10-a-day child-care goals: auditor general, CTV News) https://tinyurl.com/as7t4che (Colin D'Mello) https://tinyurl.com/4ddy5v44 (Ontario has underfunded schools by $6.3 billion since 2018, CCPA) https://tinyurl.com/48h3wkyw (Survey of Ontario education workers, CUPE) https://tinyurl.com/4r22jf6j (Ontario budget fails workers and students, CUPE)",2025-10-16 17:47:25,717,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
dfC8b8H3xnM,GOP Chat Leak; Welch Breaks Booker; Trump Gives It Up; + JT ❤️’s KP | Is This Real Life?,"Today in 'Is This Real Life?': Trump gives up the game then talks about Heaven; Jennifer Welch of the I've Had It Podcast breaks Democratic Senator Cory Booker with a very simple question; leaked chats from the next wave of Republican leaders, and finally a nice palate cleanser featuring how the National Post got weird with Justin Trudeau and Katy Perry.  Time Stamps: 00:00 Intro 00:57 Trump gives it up 05:37 Trump talks ‘Heaven’ 07:42 Welch breaks Sen. Cory Booker 10:02 Gavin Newsom gets weird 12:45 Young GOP chats leak 15:49 Justin Trudeau & Katy Perry  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/mwrkvsc3 (Politico report on Young Republicans) https://tinyurl.com/bde7y4u4 (I've Had It podcast interviews Senator Cory Booker) https://tinyurl.com/3k3462yf (Gavin Newsom gets weird) https://tinyurl.com/5n83d2ur (Israeli PM Netanyahu gave President Trump a golden dove) https://tinyurl.com/4vpx2r59 (clip, ‘Bibi Netanyahu would call me so many times’) https://tinyurl.com/7vzyemja (Israel Breaks Ceasefire, Common Dreams) https://tinyurl.com/34kwt3cz (The Pro-Israel Donor With a $100 Million Plan to Elect Trump, NYT) https://tinyurl.com/38yt2st2 (Sheldon Adelson to donate $100m to Trump and Republicans, fundraisers say, The Guardian) https://tinyurl.com/2eye57kf (clip, Trump suggests he moved the embassy to Jerusalem as a promise to the Adelsons) https://tinyurl.com/y3kxzbsd (Attempt to defy international law over Golan sovereignty, UN) https://tinyurl.com/ykx96rke (clip, TRUMP: "" I think I'm not maybe heaven bound) https://tinyurl.com/2wz2n4tx (Bipartisan Group of Senators Meets With Netanyahu Despite ICC Arrest Warrant, Truthout) https://tinyurl.com/2wpusnh3 (Israel is responsible for 95% of journalist and media workers ended, CPJ) https://tinyurl.com/4c4b2zp7 (Trump in 2014: “I don’t like to analyze myself because I might not like what I see”, Vox) https://tinyurl.com/49t8hndc (National Post headlines on Justin Trudeau and Katy Perry)",2025-10-15 19:10:01,1107,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
Nd3c7_NWUks,Joe Rogan Disturbed By What He Voted For | Zohran Mamdani Lays It Out,"Joe Rogan is feeling disturbed by what the Trump administration is doing using Ice, meanwhile Zohran Mamdani lays out Trump's strategy during an appearance on MSNBC. I break it all down and share my thoughts.  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/yn3uj2ps (AP) https://tinyurl.com/y3xh7pez (Republicans cheer for ‘mass deportation’, The Guardian) https://tinyurl.com/4muwc2sf (Trump clip) https://tinyurl.com/3cdcsfk6 (CATO) https://tinyurl.com/5cx2b9f5 (The Marshall Project) https://tinyurl.com/4nttjpts (clip of Debbie Brockman for WGN) https://tinyurl.com/yzycjdpr (Immigrants with no record now largest group in Ice detention, The Guardian) https://tinyurl.com/2fca3buu (Ice and Pastor story, Truthout) https://tinyurl.com/3thab6wv (Adam Johnson thread) https://tinyurl.com/x6mftkuj (Joe Rogan clip) https://tinyurl.com/4dmva6jc (Zohran Mamdani on MSNBC's Morning Joe)",2025-10-10 23:00:57,728,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
NT-c_UJSbXU,The 'Peace Deal' Reveals A Stunning Fact,"My thoughts on the so-called 'Peace Deal' that has been struck, including a condition within it that speaks to a greater issue with how this conflict has been discussed.  Time Stamps: 00:00 Intro 01:32 New Polling 05:21 Peace Deal (And Stunning Fact) 11:53 Why I’m Skeptical  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/sbza65cy (CNN clip) https://tinyurl.com/3n4vh6cj (Washington Post) https://tinyurl.com/yrpf2avf (BBC) https://tinyurl.com/cfr58zku (HRW) https://tinyurl.com/3nr89yd6 (DCI) https://tinyurl.com/36k3etzc (UN) https://tinyurl.com/296dkxw3 (CNN) https://tinyurl.com/2j6bu9bn (NBC News) https://tinyurl.com/24mawznj (Truthout) https://tinyurl.com/2dkpep3u (The Guardian) https://tinyurl.com/yt4uwvm4 (CNN World) https://tinyurl.com/ytv4m48x (QNN)",2025-10-09 19:04:23,928,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
6JO1SDqgLrc,Absolutely Insane Doug Ford Scandals Pile Up While No One Is Paying Attention,"Ontario Premier Doug Ford is facing scandal after scandal (including several recent ones discussed in this video), yet it doesn't appear to be hurting him.  Time Stamps: 00:00 - Intro 00:37 - Speed camera scandal 5:04 - Grant money scandal 8:13 - Labour Minister scandal 9:24 - Mismanaged budget 10:40 - Information shutdown 12:30 - Doug Ford government widens lead  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/ht9rdane (Speed Camera Tickets in Ontario) https://tinyurl.com/29kuerab (Doug Ford to ban speed cameras in Ontario, CBC News) https://tinyurl.com/2au842m9 (Vehicles registered to Ford cabinet ministers caught by speed cameras more than 20 times, Global News) https://tinyurl.com/4a67ddau (Ontario school boards urge Ford to halt plan to scrap speed cameras, CBC News) https://tinyurl.com/3mpvr374 (Doug Ford's response) https://tinyurl.com/yr3xusft (Automated speed enforcement significantly reduces speeding, study) https://tinyurl.com/3uk34wnp (automated speed enforcement tickets, h/t Isaac Callen) https://tinyurl.com/49wnxwm8 (Clients of lobby firms connected to premier, his nephew given tens of millions in training funds, The Trillium) https://tinyurl.com/4bvtv75b (Ontario labour minister attended lobbyist’s wedding after granting his clients millions in training funds, The Trillium) https://tinyurl.com/8fv3es6d (Carole MacNeil) https://tinyurl.com/49skan49 (Jen Hassum) https://tinyurl.com/t2de9k7c (Ontario falling short on reaching $10-a-day child-care goals: auditor general, CTV News) https://tinyurl.com/as7t4che (Colin D'Mello) https://tinyurl.com/42fs6pma (Ford government blocks public livestreams of school board committee meetings, Tina Yazdani for City News) https://tinyurl.com/bdzc6phf (Ford PCs widen lead over Liberals, Abacus Data)",2025-10-08 18:13:22,941,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
U8Y99E2veyA,Graham Platner Clip Goes Viral For How He Addressed A Bigot,"A clip of Graham Platner, a Democratic candidate for U.S. Senate in Maine, is making the rounds and opening up a conversation about communication. I discuss my thoughts on Platner's approach, and how the approach could differ depending on the context of any given situation.  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/mjsdjcrw (Graham Platner clip) https://tinyurl.com/3ez7ub3a (muscular man scares off agitator at Mamdani presser, h/t Jeff Coltin) https://tinyurl.com/56r5t57k (30 Paramount Employees Slam Studio Leaders, Variety)",2025-10-06 18:49:13,632,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
uXqdFLBHW20,Zohran Cooks ‘The View’ (With Kindness),"NYC mayoral candidate Zohran Mamdani had a fantastic appearance on The View, despite (or in some cases because of) the ridiculous questions thrown at him.  ===  Visit the Merch store: http://TheRationalNational.com/merch   Support the show at http://TheRationalNational.com/Join Donate Directly at http://PayPal.me/daviddoel Tip at https://streamlabs.com/therationalnational/tip ‘Join’ on YouTube: https://www.youtube.com/channel/UCo9oQdIk1MfcnzypG3UnURA/join  Follow David Doel at http://twitter.com/DavidDoel Follow The Rational National at http://twitter.com/TRNshow Follow on Twitch at http://twitch.tv/TheRationalNational Follow on Facebook: https://facebook.com/trnshow  ===  Sources: https://tinyurl.com/2njaf453 (full episode) https://tinyurl.com/mu4h6vb7 (Why Does the New York Times Keep Ignoring Polls Showing Mamdani Leading, In These Times) https://tinyurl.com/bdvn5r5k (Jeffries Slammed for Refusal to Endorse Zohran Mamdani, Common Dreams) https://tinyurl.com/ywzwvm3m (polling in detail, h/t Prem Thakker) https://tinyurl.com/mvmax865 (NYT polls)",2025-10-02 00:15:26,793,False,The Rational National,UCo9oQdIk1MfcnzypG3UnURA,"Independent political commentary, media criticism, news and culture, with an occasional comedic tinge; hosted by David Doel. Fights for human rights, workers’ rights, and equality.

David comes from a background working in broadcast news, ran for political office as a Canadian Green Party candidate, and hosted 'The David Doel Show' on NEWSTALK 1010 AM Radio in downtown Toronto."
